"","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S"
"1","low","4.21.2018","1","PP",20,5,"",450,"AS",67,0,0,0,0,0,0,0,0,0,0,0,"PP 1",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"2","low","4.21.2018","2","PP",19,11,"",1110,"HH",18,0,0,0,0,0,0,0,0,0,0,0,"PP 2",4,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"3","low","4.21.2018","3","LT",185,45,"",95,"LT",215,1,0,0,0,0,0,0,1,0,0,0,"LT 3",3,2,1,1,1,1,0.0194444444444444,0.0194444444444444,0,2
"4","low","4.21.2018","4","HH",25,2,"",275,"LT",83,0,0,0,0,0,0,0,0,0,0,0,"HH 4",2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"5","low","4.21.2018","5","LT",175,72,"",160,"LT",39,2,0,0,0,0,0,0,0,0,0,0,"LT 5",0,2,2,0,2,0,0.0194444444444444,0.0194444444444444,0,1
"6","low","4.21.2018","6","LT",125,73,"11:34",130,"LT",24,1,2,0,0,0,0,0,0,0,0,0,"LT 6",4,3,3,0,1,2,0.0194444444444444,0.0194444444444444,0,2
"7","low","4.21.2018","7","AS",49,4,"11:48",55,"AS",202,0,0,0,0,0,0,0,0,0,0,0,"AS 7",1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"8","low","4.21.2018","8","AS",39,9,"12:08",575,"EC",193,0,0,0,0,0,0,0,0,0,0,0,"AS 8",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"9","low","4.21.2018","9","PP",24,2,"12:20",30,"PP",164,0,0,1,0,0,0,1,0,0,0,0,"PP 9",1,2,1,1,1,1,0.0194444444444444,0.0194444444444444,0,2
"10","low","4.21.2018","10","EC",46,264,"12:38",270,"EC",189,0,0,1,0,0,0,0,0,0,0,0,"EC 10",1,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1
"11","low","4.21.2018","11","EC",55,135,"1:09",150,"EC",178,0,0,4,0,0,0,0,0,0,0,0,"EC 11",2,4,4,0,4,0,0.0194444444444444,0.0194444444444444,0,1
"12","low","4.21.2018","12","EC",57,185,"",120,"EC",127,0,1,3,0,0,0,0,0,0,0,0,"EC 12",2,4,4,0,3,1,0.0194444444444444,0.0194444444444444,0,2
"13","low","4.21.2018","13","LT",275,131,"",100,"LT",4,1,0,3,0,0,0,0,0,0,0,0,"LT 13",3,4,4,0,1,3,0.0194444444444444,0.0194444444444444,0,2
"14","low","4.21.2018","14","AS",35,4,"2:09",200,"AS",217,0,1,0,0,0,0,0,0,0,0,0,"AS 14",0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1
"15","low","4.21.2018","15","PP",18,2,"2:38",310,"EL",20,0,0,0,0,0,0,0,0,0,0,0,"PP 15",1,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"16","up","4.21.2018","16","SD",38,12,"3:04",68,"SD",168,0,0,0,1,0,0,0,0,0,0,0,"SD 16",0,1,1,0,1,0,0.0194444444444444,0.0194444444444444,0,1
"17","up","4.21.2018","17","PP",29,2,"",600,"EC",43,0,0,0,0,0,0,0,0,0,0,0,"PP 17",2,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"18","up","4.21.2018","18","PP",28,3,"3:37",1810,"PP",60,0,0,0,0,0,0,0,0,0,0,0,"PP 18",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"19","up","4.21.2018","19","EL",75,24,"3:59",595,"PP",126,0,0,0,0,0,0,0,0,0,0,0,"EL 19",0,0,0,0,0,0,0.0194444444444444,0.0194444444444444,0,0
"20","up","4.22.2018","20","EL",68,27,"4:16",145,"EC",126,0,0,0,0,0,0,0,0,3,0,0,"EL 20",0,3,3,0,3,0,NA,NA,NA,1
"21","up","4.22.2018","21","PP",22,1,"9:01",100,"PP",60,0,0,0,0,0,0,1,0,0,0,0,"PP 21",0,1,0,1,1,0,NA,NA,NA,1
"22","up","4.22.2018","22","AS",56,82,"9:16",965,"PP",220,0,0,0,0,0,0,0,0,0,0,0,"AS 22",1,0,0,0,0,0,NA,NA,NA,0
"23","up","4.22.2018","23","EC",45,180,"",230,"EC",33,0,0,1,0,0,0,0,0,0,0,0,"EC 23",11,1,1,0,1,0,NA,NA,NA,1
"24","up","4.22.2018","24","PP",30,2,"9:55",495,"SD",37,0,0,0,0,0,0,0,0,0,0,0,"PP 24",0,0,0,0,0,0,NA,NA,NA,0
"25","low","4.22.2018","25","SD",50,29,"10:18",285,"SD",155,0,0,0,1,0,0,0,0,0,0,0,"SD 25",1,1,1,0,1,0,NA,NA,NA,1
"26","low","4.22.2018","26","AS",54,56,"10:35",245,"AS",11,0,2,0,0,0,0,0,0,0,0,0,"AS 26",3,2,2,0,2,0,NA,NA,NA,1
"27","low","4.22.2018","27","PP",32,3,"10:50",170,"AS",71,0,2,0,0,0,0,0,0,0,0,0,"PP 27",4,2,2,0,0,2,NA,NA,NA,1
"28","low","4.22.2018","28","EL",56,117,"11:04",160,"AS",78,0,2,0,0,0,0,0,0,0,0,0,"EL 28",1,2,2,0,0,2,NA,NA,NA,1
"29","low","4.22.2018","29","AS",49,29,"11:19",690,"AS",64,0,1,0,0,0,0,0,0,0,0,0,"AS 29",1,1,1,0,1,0,NA,NA,NA,1
"30","low","4.22.2018","30","LT",165,46,"11:33",80,"LT",200,2,0,0,0,0,0,0,0,0,0,0,"LT 30",1,2,2,0,2,0,NA,NA,NA,1
"31","low","4.22.2018","31","PP",28,7,"11:57",230,"AS",166,0,4,0,0,0,0,0,0,0,0,0,"PP 31",4,4,4,0,0,4,NA,NA,NA,1
"32","low","4.22.2018","32","AS",4,9,"12:10",40,"AS",187,0,4,0,0,0,0,0,0,0,0,0,"AS 32",0,4,4,0,4,0,NA,NA,NA,1
"33","low","4.22.2018","33","LT",290,120,"12:25",75,"LT",195,1,0,0,0,0,0,0,0,0,0,0,"LT 33",4,1,1,0,1,0,NA,NA,NA,1
"34","low","4.22.2018","34","EC",39,38,"12:47",90,"AS",140,0,1,0,0,0,0,0,0,0,0,0,"EC 34",0,1,1,0,0,1,NA,NA,NA,1
"35","low","4.22.2018","35","LT",155,44,"12:58",160,"AS",188,0,1,0,0,0,0,0,0,0,0,0,"LT 35",1,1,1,0,0,1,NA,NA,NA,1
"36","low","4.22.2018","36","EC",47,20,"1:28",200,"AS",219,0,1,1,0,0,0,0,0,0,0,0,"EC 36",0,2,2,0,1,1,NA,NA,NA,2
"37","low","4.22.2018","37","AS",40,12,"1:39",200,"EC",15,0,0,1,0,0,0,0,0,0,0,0,"AS 37",0,1,1,0,0,1,NA,NA,NA,1
"38","low","4.22.2018","38","LT",200,91,"1:52",95,"LT",215,2,0,0,0,0,0,0,0,0,0,0,"LT 38",2,2,2,0,2,0,NA,NA,NA,1
"39","low","4.22.2018","39","AS",37,5,"2:07",96,"AS",26,1,2,0,0,0,0,0,0,0,0,0,"AS 39",0,3,3,0,2,1,NA,NA,NA,2
"40","low","4.22.2018","40","LT",190,76,"2:19",0,"AS",120,1,2,0,0,0,0,0,0,0,0,0,"LT 40",0,3,3,0,1,2,NA,NA,NA,2
"41","low","4.22.2018","41","EC",55,105,"2:34",170,"EC",172,0,0,1,0,0,0,0,0,0,0,0,"EC 41",0,1,1,0,1,0,NA,NA,NA,1
"42","low","4.22.2018","42","EC",30,70,"2:56",300,"LT",94,1,0,0,0,0,0,0,0,0,0,0,"EC 42",0,1,1,0,0,1,NA,NA,NA,1
"43","low","4.22.2018","43","EC",46,112,"3:08",290,"EC",171,0,0,3,0,0,0,0,0,0,0,0,"EC 43",1,3,3,0,3,0,NA,NA,NA,1
"44","LOW","4.22.2018","44","AS",60,16,"3:35",360,"EC",148,0,0,0,0,0,0,0,0,0,0,0,"AS 44",1,0,0,0,0,0,NA,NA,NA,0
"45","UP","4.22.2018","45","EC",59,64,"3:57",105,"SD",12,0,0,0,1,2,0,0,0,0,0,0,"EC 45",0,3,3,0,0,3,NA,NA,NA,2
"46","UP","4.22.2018","46","SM",60,46,"4:08",430,"EC",13,0,0,0,0,0,0,0,0,0,0,0,"SM 46",0,0,0,0,0,0,NA,NA,NA,0
"47","UP","4.23.2018","47","AS",57,90,"9:23",870,"PP",52,0,0,0,0,0,0,0,0,0,0,0,"AS 47",3,0,0,0,0,0,0.05,0.05,0,0
"48","UP","4.23.2018","48","SD",54,11,"9:52",52,"SD",203,0,0,0,8,0,0,0,0,0,0,0,"SD 48",0,8,8,0,8,0,0.05,0.05,0,1
"49","UP","4.23.2018","49","SD",60,12,"10:01",20,"SD",220,0,0,0,2,0,0,0,0,0,0,0,"SD 49",2,2,2,0,2,0,0.05,0.05,0,1
"50","UP","4.23.2018","50","SM",70,24,"10:16",35,"SM",163,0,0,0,3,5,0,0,0,0,0,0,"SM 50",2,8,8,0,5,3,0.05,0.05,0,2
"51","UP","4.23.2018","51","SM",64,19,"10:31",35,"SM",159,0,0,0,2,0,0,0,0,0,0,0,"SM 51",0,2,2,0,0,2,0.05,0.05,0,1
"52","UP","4.23.2018","52","SD",83,97,"10:43",115,"SD",144,0,0,0,3,4,0,0,0,0,0,0,"SD 52",7,7,7,0,3,4,0.05,0.05,0,2
"53","","4.23.2018","53","PP",34,3,"11:03",5,"SM",220,0,0,0,0,2,0,0,0,0,1,0,"PP 53",2,3,3,0,0,3,0.05,0.05,0,2
"54","low","4.23.2018","54","AS",52,49,"11:15",166,"AS",6,0,3,0,0,0,0,0,0,0,0,0,"AS 54",5,3,3,0,3,0,0.05,0.05,0,1
"55","low","4.23.2018","55","PP",23,1,"11:51",200,"LT",54,0,0,0,0,0,0,0,0,0,0,0,"PP 55",2,0,0,0,0,0,0.05,0.05,0,0
"56","low","4.23.2018","56","AS",62,33,"12:07",20,"AS",218,0,3,0,0,0,0,0,0,0,0,0,"AS 56",0,3,3,0,3,0,0.05,0.05,0,1
"57","low","4.23.2018","57","LT",250,94,"12:20",470,"AS",1,0,0,0,0,0,0,0,0,0,0,0,"LT 57",0,0,0,0,0,0,0.05,0.05,0,0
"58","low","4.23.2018","58","LT",160,53,"12:33",340,"AS",202,0,0,0,0,0,0,0,0,0,0,0,"LT 58",0,0,0,0,0,0,0.05,0.05,0,0
"59","low","4.23.2018","59","EC",40,103,"1:11",290,"LT",90,1,0,0,0,0,0,0,0,0,0,0,"EC 59",0,1,1,0,0,1,0.05,0.05,0,1
"60","low","4.23.2018","60","AS",42,9,"1:22",415,"EC",196,0,0,0,0,0,0,0,0,0,0,0,"AS 60",0,0,0,0,0,0,0.05,0.05,0,0
"61","low","4.23.2018","61","LT",170,90,"1:42",570,"LT",166,0,0,0,0,0,0,0,0,0,0,0,"LT 61",2,0,0,0,0,0,0.05,0.05,0,0
"62","low","4.23.2018","62","LT",150,55,"1:53",410,"LT",132,0,0,0,0,0,0,0,0,0,0,0,"LT 62",1,0,0,0,0,0,0.05,0.05,0,0
"63","low","4.23.2018","64","AS",43,27,"2:22",60,"LT",173,1,0,0,0,0,0,0,0,0,0,0,"AS 64",0,1,1,0,0,1,0.05,0.05,0,1
"64","low","4.23.2018","65","EC",48,175,"2:40",550,"LT",161,0,0,0,0,0,0,0,0,0,0,0,"EC 65",5,0,0,0,0,0,0.05,0.05,0,0
"65","low","4.23.2018","66","EC",44,84,"2:52",120,"EC",41,1,0,3,0,0,0,0,0,0,0,0,"EC 66",0,4,4,0,3,1,0.05,0.05,0,2
"66","low","4.23.2018","67","EC",39,120,"3:06",230,"EC",207,0,0,1,0,0,0,0,0,0,0,0,"EC 67",0,1,1,0,1,0,0.05,0.05,0,1
"67","low","4.23.2018","68","LT",105,20,"3:21",180,"EC",169,0,0,1,0,0,0,0,0,0,0,0,"LT 68",0,1,1,0,0,1,0.05,0.05,0,1
"68","UP","4.23.2018","69","SM",60,11,"3:57",115,"SM",100,0,0,0,0,2,0,1,0,0,0,0,"SM 69",0,3,2,1,2,1,0.05,0.05,0,2
"69","UP","4.24.2018","70","PP",29,25,"8:59",160,"SM",101,0,0,0,0,3,0,0,0,0,0,0,"PP 70",2,3,3,0,0,3,0.0385,0.036,0.0015,1
"70","UP","4.24.2018","71","AS",67,75,"9:17",80,"SM",121,0,2,0,0,1,0,0,0,0,0,0,"AS 71",2,3,3,0,2,1,0.0385,0.036,0.0015,2
"71","UP","4.24.2018","72","PP",19,5,"9:31",55,"SM",119,0,0,0,0,2,0,0,0,0,0,0,"PP 72",1,2,2,0,0,2,0.0385,0.036,0.0015,1
"72","UP","4.24.2018","73","AS",60,34,"9:43",130,"AS",123,0,1,0,0,0,0,0,0,0,0,0,"AS 73",1,1,1,0,1,0,0.0385,0.036,0.0015,1
"73","UP","4.24.2018","74","PP",35,16,"9:58",160,"AS",114,0,1,0,0,0,0,0,0,0,0,0,"PP 74",2,1,1,0,0,1,0.0385,0.036,0.0015,1
"74","UP","4.24.2018","75","SM",72,24,"10:12",240,"SM",89,0,0,0,0,2,0,0,0,0,0,0,"SM 75",0,2,2,0,2,0,0.0385,0.036,0.0015,1
"75","UP","4.24.2018","76","SD",55,30,"10:34",210,"SD",159,0,0,0,1,0,0,0,0,0,0,0,"SD 76",0,1,1,0,1,0,0.0385,0.036,0.0015,1
"76","","4.24.2018","77","PP",19,1,"10:51",0,"AS",218,0,3,0,0,0,0,0,0,0,0,0,"PP 77",2,3,3,0,0,3,0.0385,0.036,0.0015,1
"77","","4.24.2018","78","AS",30,25,"11:07",0,"PP",218,0,2,0,0,0,0,1,0,0,0,0,"AS 78",0,3,2,1,2,1,0.0385,0.036,0.0015,2
"78","","4.24.2018","79","AS",58,83,"11:24",NA,"",1,0,0,0,0,0,0,0,0,0,0,0,"AS 79",0,0,0,0,0,0,0.0385,0.036,0.0015,0
"79","","4.24.2018","80","PP",23,1,"11:39",90,"AS",16,0,5,0,0,0,0,0,0,0,0,0,"PP 80",0,5,5,0,0,5,0.0385,0.036,0.0015,1
"80","","4.24.2018","81","SM",100,21,"",75,"AS",133,0,2,0,0,0,0,0,0,0,0,0,"SM 81",0,2,2,0,0,2,0.0385,0.036,0.0015,1
"81","","4.24.2018","82","LT",220,233,"12:33",50,"AS",157,0,2,0,0,0,0,0,0,0,0,0,"LT 82",6,2,2,0,0,2,0.0385,0.036,0.0015,1
"82","","4.24.2018","83","AS",45,32,"12:33",60,"AS",177,0,2,0,0,0,0,0,0,0,0,0,"AS 83",0,2,2,0,2,0,0.0385,0.036,0.0015,1
"83","","4.24.2018","84","AS",55,13,"12:51",60,"AS",156,0,3,0,0,0,0,0,0,0,0,0,"AS 84",0,3,3,0,3,0,0.0385,0.036,0.0015,1
"84","","4.24.2018","85","LT",245,127,"1:13",830,"LT",204,0,5,0,0,0,0,0,0,0,0,0,"LT 85",4,5,5,0,0,5,0.0385,0.036,0.0015,1
"85","","4.24.2018","86","LT",115,135,"",80,"AS",9,0,3,0,0,0,0,0,0,0,0,0,"LT 86",3,3,3,0,0,3,0.0385,0.036,0.0015,1
"86","","4.24.2018","87","SC",70,12,"1:53",230,"AS",45,0,1,0,0,0,0,0,0,0,0,0,"SC 87",6,1,1,0,0,1,0.0385,0.036,0.0015,1
"87","","4.24.2018","88","SC",70,9,"2:20",230,"AS",75,0,2,0,0,0,0,0,0,0,0,0,"SC 88",3,2,2,0,0,2,0.0385,0.036,0.0015,1
"88","","4.24.2018","89","AS",50,21,"2:36",240,"SC",180,0,2,0,0,0,1,0,0,0,0,0,"AS 89",0,3,2,1,2,1,0.0385,0.036,0.0015,2
"89","","4.24.2018","90","EC",50,360,"2:55",220,"EC",36,0,0,8,0,0,0,0,0,0,0,0,"EC 90",2,8,8,0,8,0,0.0385,0.036,0.0015,1
"90","","4.24.2018","91","EC",55,175,"",160,"EC",79,1,1,2,0,0,0,0,0,0,0,0,"EC 91",2,4,4,0,2,2,0.0385,0.036,0.0015,3
"91","","4.24.2018","92","LT",270,98,"3:31",260,"EC",212,0,0,3,0,0,0,0,0,0,0,0,"LT 92",0,3,3,0,0,3,0.0385,0.036,0.0015,1
"92","","4.24.2018","93","SC",57,17,"3:51",190,"SM",55,0,0,1,0,1,0,0,0,0,0,0,"SC 93",2,2,2,0,0,2,0.0385,0.036,0.0015,2
"93","","4.24.2018","94","EC",60,275,"",200,"EC",7,0,0,1,0,0,0,0,0,0,0,0,"EC 94",2,1,1,0,1,0,0.0385,0.036,0.0015,1
"94","","4.24.2018","95","PP",20,10,"",0,"LT",2,0,0,1,0,0,0,0,0,0,0,0,"PP 95",0,1,1,0,0,1,0.0385,0.036,0.0015,1
"95","","4.24.2018","96","LT",170,102,"",0,"PP",210,2,0,1,0,0,0,1,0,0,0,0,"LT 96",1,4,3,1,2,2,0.0385,0.036,0.0015,3
"96","","4.25.2018","97","PP",22,4,"9:30",300,"AS",40,0,1,0,0,0,0,0,0,0,0,0,"PP 97",2,1,1,0,0,1,NA,NA,NA,1
"97","","4.25.2018","98","AS",64,17,"9:43",300,"PP",27,0,0,0,0,0,0,1,0,0,0,0,"AS 98",1,1,0,1,0,1,NA,NA,NA,1
"98","","4.25.2018","99","PP",24,2,"9:57",58,"AS",66,0,5,0,0,0,0,0,0,0,0,0,"PP 99",1,5,5,0,0,5,NA,NA,NA,1
"99","","4.25.2018","100","AS",38,6,"9:57",88,"PP",70,0,3,0,0,0,0,1,0,0,0,0,"AS 100",0,4,3,1,3,1,NA,NA,NA,2
"100","","4.25.2018","101","LT",285,146,"",170,"PP",181,0,1,0,0,0,0,1,0,0,0,0,"LT 101",4,2,1,1,0,2,NA,NA,NA,2
"101","","4.25.2018","102","PP",19,2,"10:32",90,"AS",32,1,1,0,0,0,0,0,0,0,0,0,"PP 102",0,2,2,0,0,2,NA,NA,NA,2
"102","","4.25.2018","103","AS",65,53,"10:58",30,"AS",135,0,4,0,0,0,0,0,0,0,0,0,"AS 103",0,4,4,0,4,0,NA,NA,NA,1
"103","","4.25.2018","104","EC",32,28,"11:28",330,"EC",208,0,0,0,0,0,0,0,0,0,0,0,"EC 104",0,0,0,0,0,0,NA,NA,NA,0
"104","","4.25.2018","105","LT",136,36,"11:42",180,"LT",46,2,0,0,0,0,0,0,0,0,0,0,"LT 105",3,2,2,0,2,0,NA,NA,NA,1
"105","","4.25.2018","106","EC",38,200,"",370,"LT",122,0,0,0,0,0,0,0,0,0,0,0,"EC 106",4,0,0,0,0,0,NA,NA,NA,0
"106","","4.25.2018","107","EC",35,34,"12:13",230,"EC",72,1,0,2,0,0,0,0,0,0,0,0,"EC 107",1,3,3,0,2,1,NA,NA,NA,2
"107","","4.25.2018","108","AS",140,31,"12:31",140,"AS",46,0,1,0,0,0,0,0,0,0,0,0,"AS 108",1,1,1,0,1,0,NA,NA,NA,1
"108","","4.25.2018","109","LT",200,151,"12:56",120,"LT",17,1,0,0,0,0,0,0,0,0,0,0,"LT 109",1,1,1,0,1,0,NA,NA,NA,1
"109","","4.25.2018","110","EC",58,150,"1:13",250,"LT",74,0,0,3,0,0,0,0,0,0,0,0,"EC 110",5,3,3,0,3,0,NA,NA,NA,1
"110","","4.25.2018","111","EC",56,109,"1:33",810,"LT",202,0,0,0,0,0,0,0,0,0,0,0,"EC 111",2,0,0,0,0,0,NA,NA,NA,0
"111","","4.25.2018","112","SC",55,3,"1:50",520,"AS",187,0,0,0,0,0,0,0,0,0,0,0,"SC 112",7,0,0,0,0,0,NA,NA,NA,0
"112","","4.25.2018","113","AS",52,49,"",530,"LT",157,0,1,0,0,0,0,0,0,0,0,0,"AS 113",1,1,1,0,1,0,NA,NA,NA,1
"113","","4.25.2018","114","SC",39,3,"2:30",190,"LT",49,1,2,0,0,0,0,0,0,0,0,0,"SC 114",4,3,3,0,0,3,NA,NA,NA,2
"114","","4.25.2018","115","SC",46,3,"2:42",110,"SM",175,0,0,0,1,1,0,0,0,0,0,0,"SC 115",0,2,2,0,0,2,NA,NA,NA,2
"115","UP","4.25.2018","116","SD",39,41,"3:17",50,"SD",185,0,0,0,2,0,0,0,0,0,0,0,"SD 116",0,2,2,0,2,0,NA,NA,NA,1
"116","UP","4.25.2018","117","SM",70,42,"3:34",80,"SM",152,0,0,0,0,1,0,0,0,2,0,0,"SM 117",0,3,3,0,1,2,NA,NA,NA,2
"117","","4.25.2018","118","LT",195,130,"3:47",1470,"LT",30,0,0,0,0,0,0,0,0,0,0,0,"LT 118",1,0,0,0,0,0,NA,NA,NA,0
"118","","4.25.2018","119","SC",46,7,"4:01",50,"AS",47,0,2,0,0,0,0,0,0,0,0,0,"SC 119",2,2,2,0,0,2,NA,NA,NA,1
"119","","4.25.2018","120","AS",35,16,"4:21",160,"LT",39,1,0,0,0,0,0,0,0,0,0,0,"AS 120",0,1,1,0,0,1,NA,NA,NA,1
"120","","4.26.2018","121","PP",18,2,"9:09",245,"LT",72,2,0,0,0,1,0,0,0,0,0,0,"PP 121",0,3,3,0,0,3,0.0445,0.0415,0.003,2
"121","","4.26.2018","122","PP",27,2,"9:24",140,"AS",127,0,2,0,0,0,0,1,0,0,0,0,"PP 122",0,3,2,1,1,2,0.0445,0.0415,0.003,2
"122","","4.26.2018","123","AS",50,71,"9:47",125,"AS",194,0,1,0,0,0,0,1,0,0,0,0,"AS 123",0,2,1,1,1,1,0.0445,0.0415,0.003,2
"123","","4.26.2018","124","PP",28,3,"10:05",300,"LT",164,0,2,0,0,0,0,0,0,0,0,0,"PP 124",9,2,2,0,0,2,0.0445,0.0415,0.003,1
"124","","4.26.2018","125","SC",52,3,"10:21",50,"AS",5,0,1,0,0,0,0,0,0,0,0,0,"SC 125",2,1,1,0,0,1,0.0445,0.0415,0.003,1
"125","","4.26.2018","126","SC",42,7,"10:41",800,"AS",201,0,1,0,0,0,0,0,0,0,0,0,"SC 126",2,1,1,0,0,1,0.0445,0.0415,0.003,1
"126","","4.26.2018","127","LT",190,156,"11:02",30,"AS",178,0,1,0,0,0,0,0,0,0,0,0,"LT 127",1,1,1,0,0,1,0.0445,0.0415,0.003,1
"127","","4.26.2018","128","AS",53,62,"11:20",0,"EC",133,0,3,1,0,0,0,0,0,0,0,0,"AS 128",5,4,4,0,3,1,0.0445,0.0415,0.003,2
"128","","4.26.2018","129","EC",42,11,"11:20",0,"AS",133,0,3,0,0,0,0,0,0,0,0,0,"EC 129",0,3,3,0,0,3,0.0445,0.0415,0.003,1
"129","","4.26.2018","130","HH",26,1,"11:33",90,"EC",157,0,0,2,0,0,0,0,0,0,0,0,"HH 130",1,2,2,0,0,2,0.0445,0.0415,0.003,1
"130","","4.26.2018","131","LT",180,50,"12:02",180,"LT",46,1,0,0,0,0,0,0,0,0,0,0,"LT 131",1,1,1,0,1,0,0.0445,0.0415,0.003,1
"131","","4.26.2018","132","EC",64,192,"12:13",320,"AS",124,0,0,0,0,0,0,0,0,0,0,0,"EC 132",8,0,0,0,0,0,0.0445,0.0415,0.003,0
"132","","4.26.2018","133","LT",165,96,"12:32",450,"LT",140,0,0,0,0,0,0,0,0,0,0,0,"LT 133",0,0,0,0,0,0,0.0445,0.0415,0.003,0
"133","","4.26.2018","134","AS",45,47,"12:45",320,"SC",161,0,0,0,0,0,0,0,0,0,0,0,"AS 134",0,0,0,0,0,0,0.0445,0.0415,0.003,0
"134","","4.26.2018","135","SM",65,12,"1:01",65,"SM",158,0,1,0,0,3,0,0,0,0,0,0,"SM 135",0,4,4,0,3,1,0.0445,0.0415,0.003,2
"135","","4.27.2018","136","AS",48,40,"10:38",0,"SC",82,0,3,0,0,0,1,0,0,0,0,0,"AS 136",0,4,3,1,3,1,0.043,0.0385,0.0045,2
"136","","4.27.2018","137","SC",54,3,"10:38",0,"AS",82,0,4,0,0,0,0,0,0,0,0,0,"SC 137",0,4,4,0,0,4,0.043,0.0385,0.0045,1
"137","","4.27.2018","138","SC",46,10,"10:54",25,"AS",76,0,2,0,0,0,1,0,0,0,0,0,"SC 138",0,3,2,1,1,2,0.043,0.0385,0.0045,2
"138","","4.27.2018","139","SC",58,8,"10:54",110,"SC",NA,0,1,0,0,0,2,0,0,0,0,0,"SC 139",2,3,1,2,2,1,0.043,0.0385,0.0045,2
"139","","4.27.2018","140","PP",22,1,"11:19",16,"SC",NA,0,0,0,0,0,0,0,0,0,0,0,"PP 140",3,0,0,0,0,0,0.043,0.0385,0.0045,0
"140","","4.27.2018","141","AS",54,80,"11:19",200,"AS",87,0,1,0,0,0,0,0,0,0,0,0,"AS 141",2,1,1,0,1,0,0.043,0.0385,0.0045,1
"141","","4.27.2018","142","AS",22,155,"11:40",140,"SM",57,1,3,0,0,1,0,0,0,0,0,0,"AS 142",1,5,5,0,3,2,0.043,0.0385,0.0045,3
"142","","4.27.2018","143","EC",60,375,"",105,"AS",88,2,5,0,0,1,0,0,0,0,0,0,"EC 143",4,8,8,0,0,8,0.043,0.0385,0.0045,3
"143","","4.27.2018","144","HH",44,6,"12:09",130,"EC",95,0,0,2,0,0,0,0,0,0,0,0,"HH 144",3,2,2,0,0,2,0.043,0.0385,0.0045,1
"144","","4.27.2018","145","LT",170,85,"12:09",160,"EC",178,0,1,3,0,0,0,0,0,0,0,0,"LT 145",1,4,4,0,0,4,0.043,0.0385,0.0045,2
"145","","4.27.2018","146","EC",58,46,"12:09",0,"LT",2,1,1,2,0,0,0,0,0,0,0,0,"EC 146",1,4,4,0,2,2,0.043,0.0385,0.0045,3
"146","","4.27.2018","147","EC",56,240,"12:26",30,"EC",79,2,0,1,0,0,0,0,0,0,0,0,"EC 147",10,3,3,0,1,2,0.043,0.0385,0.0045,2
"147","","4.27.2018","148","EC",62,225,"12:26",15,"EC",79,1,0,1,0,0,0,0,0,0,0,0,"EC 148",3,2,2,0,1,1,0.043,0.0385,0.0045,2
"148","","4.27.2018","149","LT",210,151,"12:47",300,"LT",94,2,0,0,0,0,0,0,0,0,0,0,"LT 149",4,2,2,0,2,0,0.043,0.0385,0.0045,1
"149","","4.27.2018","150","AS",53,45,"12:47",270,"AS",174,0,1,0,0,0,0,0,0,0,0,0,"AS 150",0,1,1,0,1,0,0.043,0.0385,0.0045,1
"150","","4.27.2018","151","LT",135,87,"1:14",70,"AS",41,1,1,1,0,0,0,0,0,0,0,0,"LT 151",3,3,3,0,1,2,0.043,0.0385,0.0045,3
"151","","4.27.2018","152","SC",66,10,"1:14",0,"EC",77,1,1,2,0,0,0,0,0,0,0,0,"SC 152",2,4,4,0,0,4,0.043,0.0385,0.0045,3
"152","","4.27.2018","153","EC",58,92,"2:00",60,"AS",104,0,4,1,0,0,0,0,0,0,0,0,"EC 153",5,5,5,0,1,4,0.043,0.0385,0.0045,2
"153","","4.27.2018","154","AS",34,38,"2:00",147,"EC",136,0,1,2,0,0,0,0,0,0,0,0,"AS 154",0,3,3,0,1,2,0.043,0.0385,0.0045,2
"154","","4.27.2018","155","LT",130,39,"2:19",150,"LT",32,2,0,0,0,0,0,0,0,0,0,0,"LT 155",0,2,2,0,2,0,0.043,0.0385,0.0045,1
"155","","4.27.2018","156","SC",66,15,"2:19",68,"AS",14,1,1,0,0,0,0,0,0,0,0,0,"SC 156",5,2,2,0,0,2,0.043,0.0385,0.0045,2
"156","","4.27.2018","157","AS",51,22,"2:36",125,"LT",181,0,1,0,0,0,0,0,0,0,0,0,"AS 157",0,1,1,0,1,0,0.043,0.0385,0.0045,1
"157","","4.27.2018","158","AS",54,30,"2:36",125,"AS",160,0,1,0,0,0,0,0,0,0,0,0,"AS 158",0,1,1,0,1,0,0.043,0.0385,0.0045,1
