"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","uniID","X","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","imp.den.x","imp.den.y"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 37",37,"low","4.22.2018",37,"AS",40,12,"1:39",200,"EC",15,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"38",2,0.117647058823529,0.0197802197802198,-0.49010989010989,0.391304347826087,0.9375,0.684653196881458,0.9375,1,1.58260869565217,0.0029881757522496,0,0.00496781979082864,0.00230066953336541,NA,0.693147180559945,2,0.396850393700787,0.206751277389075,0.0373378679365319,"LT 38",38,"low","4.22.2018",38,"LT",200,91,"1:52",95,"LT",215,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 39",39,"low","4.22.2018",39,"AS",37,5,"2:07",96,"AS",26,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,NA,NA,NA,2,0.0347222222222222,0.0347222222222222
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT 40",40,"low","4.22.2018",40,"LT",190,76,"2:19",0,"AS",120,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,NA,NA,NA,2,0.0347222222222222,0.0347222222222222
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC 41",41,"low","4.22.2018",41,"EC",55,105,"2:34",170,"EC",172,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC 42",42,"low","4.22.2018",42,"EC",30,70,"2:56",300,"LT",94,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"43",1,0.0588235294117647,0.0099009900990099,-0.99009900990099,0.817391304347826,1,1,1,1,1.81739130434783,0,0,0.00418342719227675,0.00167883758817484,NA,0,1,0.159055118110236,0.103375638694537,0.113160148640456,"EC 43",43,"low","4.22.2018",43,"EC",46,112,"3:08",290,"EC",171,0,0,3,0,0,0,0,0,0,0,0,1,3,3,0,3,0,NA,NA,NA,1,0.0347222222222222,0.0347222222222222
"44",1,0.0588235294117647,0.0454545454545455,-0.954545454545455,0.730434782608696,1,1,1,1,2.02173913043478,0,0,0.00362530168946098,0.0015768272059547,NA,0,1,0.0346456692913386,0.103375638694537,0.406026425555071,"AS 44",44,"LOW","4.22.2018",44,"AS",60,16,"3:35",360,"EC",148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0.0347222222222222,0.0347222222222222
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC 45",45,"UP","4.22.2018",45,"EC",59,64,"3:57",105,"SD",12,0,0,0,1,2,0,0,0,0,0,0,0,3,3,0,0,3,NA,NA,NA,2,0.0347222222222222,0.0347222222222222
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SM 46",46,"UP","4.22.2018",46,"SM",60,46,"4:08",430,"EC",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0.0347222222222222,0.0347222222222222
"47",3,0.176470588235294,0.108934806524131,-0.297021731158623,0.126086956521739,0.875,0.540061724867322,0.875,1,1.69565217391304,0.0102025478864372,0,0.00456556717618665,0.00252514053554388,NA,1.09861228866811,3,0.223622047244095,0.310126916083612,0.244345102195391,"AS 47",47,"UP","4.23.2018",47,"AS",57,90,"9:23",870,"PP",52,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SD 48",48,"UP","4.23.2018",48,"SD",54,11,"9:52",52,"SD",203,0,0,0,8,0,0,0,0,0,0,0,0,8,8,0,8,0,0.05,0.05,0,1,0.05,0.05
"49",2,0.117647058823529,0.0251023486317604,-0.48744882568412,0.439130434782609,0.9375,0.684653196881458,0.9375,1,1.50869565217391,0.0164592134921087,0,0.00519408688656476,0.0023549380450441,NA,0.693147180559945,2,0.366929133858268,0.206751277389075,0.0695881487149167,"SD 49",49,"UP","4.23.2018",49,"SD",60,12,"10:01",20,"SD",220,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0.05,0.05,0,1,0.05,0.05
"50",2,0.117647058823529,0.392857142857143,-0.303571428571429,0.447826086956522,0.9375,0.684653196881458,0.9375,1,2.44782608695652,0.00131295174683274,8.36248200324186e-05,0.00301689460981496,0.00141831644594379,NA,0.693147180559945,2,0.0173228346456693,0.206751277389075,0.660641476480152,"SM 50",50,"UP","4.23.2018",50,"SM",70,24,"10:16",35,"SM",163,0,0,0,3,5,0,0,0,0,0,0,2,8,8,0,5,3,0.05,0.05,0,2,0.05,0.05
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SM 51",51,"UP","4.23.2018",51,"SM",64,19,"10:31",35,"SM",159,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0.05,0.05,0,1,0.05,0.05
"52",4,0.235294117647059,0.295054945054945,-0.176236263736264,0.0173913043478261,0.916666666666667,0.512596431943119,0.8125,1,1.50434782608696,0.022128301781473,0.00465976080513977,0.00518905872888174,0.00365073570886545,NA,1.27703425946614,3.58598882705695,0.425196850393701,0.370703885348487,0.196866436644851,"SD 52",52,"UP","4.23.2018",52,"SD",83,97,"10:43",115,"SD",144,0,0,0,3,4,0,0,0,0,0,0,7,7,7,0,3,4,0.05,0.05,0,2,0.05,0.05
"53",1,0.0588235294117647,0.010989010989011,-0.989010989010989,0.591304347826087,1,1,1,1,1.66086956521739,0,0,0.00471641190667739,0.00269448839679189,NA,0,1,0.286614173228346,0.103375638694537,0.0812096813010194,"PP 53",53,"","4.23.2018",53,"PP",34,3,"11:03",5,"SM",220,0,0,0,0,2,0,0,0,0,1,0,2,3,3,0,0,3,0.05,0.05,0,2,0.05,0.05
