"","weighted connectance"
"210",0.1329878113302
"211",0.131526442730946
"212",0.130017303600112
"213",0.13185577767067
"214",0.130313806677026
"215",0.128626800106479
"216",0.133223084407513
"217",0.131703693208962
"218",0.136702818800233
"219",0.128216516708115
"220",0.129482615082019
"221",0.134995094599771
"222",0.126289027114066
"223",0.130795579649334
"224",0.128975538167871
"225",0.133679287700384
"226",0.13752315179639
"227",0.134045613410836
"228",0.133858890868099
"229",0.119612076903603
"230",0.135631265709544
"231",0.121921733977215
"232",0.133188930541846
"233",0.13057302265681
"234",0.128451805957302
"235",0.1306898627832
"236",0.13080260978935
"237",0.132479816475578
"238",0.137242514452954
"239",0.131772310268853
"240",0.131407424957847
"241",0.132503879902064
"242",0.132593724792625
"243",0.128617903714741
"244",0.129050623978532
"245",0.132068450199179
"246",0.132037231057821
"247",0.139033076885617
"248",0.130295519929054
"249",0.13131853174236
"250",0.129989776709682
"251",0.126984647004158
"252",0.128734551846732
"253",0.125390652581641
"254",0.132094324915882
"255",0.128457881175411
"256",0.132093500621356
"257",0.136598346960534
"258",0.125692268145644
"259",0.130149807072932
"260",0.130752001888343
"261",0.136569437939141
"262",0.131201491044913
"263",0.129518848114178
"264",0.130957029007682
"265",0.130116974932439
"266",0.131411241925695
"267",0.135707370114619
"268",0.134089621866018
"269",0.131160287112089
"270",0.134522484345817
"271",0.125301416929244
"272",0.130466020992393
"273",0.131903871162558
"274",0.12806582103515
"275",0.132172400102957
"276",0.132562222649185
"277",0.130942408687034
"278",0.128304692718646
"279",0.129686560553233
"280",0.134168673891247
"281",0.132351445718256
"282",0.132908408452649
"283",0.132924195840208
"284",0.131439557583598
"285",0.12897489437542
"286",0.132713493644323
"287",0.131707757093811
"288",0.131350310713235
"289",0.127461859441833
"290",0.132202616661402
"291",0.128998803106192
"292",0.132029262412295
"293",0.131419184774797
"294",0.129710276929161
"295",0.13103137673296
"296",0.129893538843247
"297",0.133638946336038
"298",0.136834252258153
"299",0.125836081791014
"300",0.13320517273181
"301",0.1310395052154
"302",0.131106048136239
"303",0.131819939868674
"304",0.12766043655269
"305",0.133650802561462
"306",0.1353893608681
"307",0.130113555016517
"308",0.129983370037723
"309",0.133913427461929
"310",0.13519777722639
"311",0.126867076973448
"312",0.130516505236718
"313",0.12644961573447
