Date,WP,Species,,Quantity,nick,fun.grp,ID,Notes,Voucher,,,,,,
4.26.2018,127,AS,3,3,bembecini ,wasp,bembecini ,crazy green eyed wasp,,"happy face on back, yellow and black, zigzaggy stripes, 2 cms, green eyed",,,,,
4.27.2018,142,AS,1,1,bembecini ,wasp,bembecini ,,,,,,,,
5.3.2018,251,AS,1,1,bembecini ,wasp,bembecini ,,,,,,,,
5.6.2018,316,LT,1,1,bembecini ,wasp,bembecini ,same,,,,,,,
4.28.2018,190,EC,"V, 1",0,black and red hemiptera,,black and red hemiptera,,crossed,,,,,,
4.27.2018,147,EC,1,1,black/blue wasp,wasp,black/blue wasp,fast,,,,,,,
5.8.2018,361,AS,V,1,bombylid,beefly,bombylid - black and white,,with black and white ab,,,,,,
5.8.2018,365,BW,1,1,bombylid,beefly,bombylid - black and white,same as voucer from 361,,,,,,,
5.8.2018,369,AS,1,1,bombylid,beefly,bombylid - black and white,same as voucher from 361,,,,,,,
4.28.2018,172,EC,V,1,bombyliid,beefly,"bombyliid - small, spotted wings",,,,,,,,
4.27.2018,153,EC,V,1,bombyliid,beefly,"bombyliid - small, white",,,,,,,,
4.25.2018,111,EC,1,1,beefly,beefly,"bombyliidae - grey, 3 stripes","have voucher caught from ground near 112, grey, 3 stripes, hangs out on ground",,,,,,,
4.28.2018,177,AS,1,1,grey bombylid,beefly,"bombyliidae - grey, 3 stripes",3 stripe,,,,,,,
4.28.2018,190,EC,1,1,grey bombylid,beefly,"bombyliidae - grey, 3 stripes",3 stripe,,,,,,,
4.28.2018,192,EC,1,1,grey bombylid,beefly,"bombyliidae - grey, 3 stripes",3 stripe,,,,,,,
5.5.2018,287,AS,V,1,grey bombylid,beefly,"bombyliidae - grey, 3 stripes",,"3 stripes, brian saw this one",,,,,,
5.5.2018,299,AS,1,1,grey bombylid,beefly,"bombyliidae - grey, 3 stripes",3 stripe,,,,,,,
5.7.2018,346,AS,1,1,grey bombylid,beefly,"bombyliidae - grey, 3 stripes",3 stripe,,,,,,,
4.24.2018,82,LT,1,1,"bombyliidae - grey, slender - I think I have caught before. It is the one always are the ground landing.",beefly,"bombyliidae - grey, slender",,,,,,,,
4.24.2018,90,EC,1,1,"bombyliidae - grey, slender - I think I have caught before. It is the one always are the ground landing.",beefly,"bombyliidae - grey, slender",,,,,,,,
4.25.2018,113,AS,1,1,grey bombylid,beefly,"bombyliidae - grey, slender",,,,,,,,
4.26.2018,127,AS,2,2,grey bombylid,beefly,"bombyliidae - grey, slender",,,,,,,,
4.26.2018,132,EC,1,1,grey bombylid,beefly,"bombyliidae - grey, slender",,,,,,,,
4.27.2018,141,AS,1,1,grey bombylid,beefly,"bombyliidae - grey, slender",same as all,,,,,,,
4.27.2018,143,EC,1,1,grey bombylid,beefly,"bombyliidae - grey, slender",,,,,,,,
4.27.2018,146,EC,1,1,grey bombylid,beefly,"bombyliidae - grey, slender",,,,,,,,
4.23.2018,47,AS,V,1,bombyliid - 1/2 black wigs,beefly,bombyliidae - Part smokey wings,,,,,,,,
4.23.2018,54,AS,1,1,beefly - voucher from earlier,beefly,bombyliidae - Part smokey wings,,,,,,,,
4.25.2018,106,EC,1,1,grey fluffy beefly,beefly,bombylinae - grey,bomylinae,,,,,,,
5.8.2018,367,BW,1,1,grey fluffy beefly,beefly,bombylinae - grey,,,,,,,,
4.23.2018,52,SD,1,1,bombylinae - orangey fuzzy beefly,beefly,bombylinae - orange,,,,,,,,
4.25.2018,106,EC,2,2,orange beefly,beefly,bombylinae - orange,have photo,,,,,,,
4.25.2018,110,EC,1,1,orange beefly,beefly,bombylinae - orange,photo,,,,,,,
4.23.2018,49,SD,V,1,wasp,wasp,braconidae?,don’t know,,,,,,,
4.23.2018,50,SM,1,1,hummingbird,hummingbird,Calypte costae,green with white belly,,,,,,,
4.27.2018,149,LT,1,1,green hummingbird,hummingbird,Calypte costae,,,,,,,,
5.4.2018,266,SC,1,1,hummingbird,hummingbird,Calypte costae,"green, white belly",,,,,,,
5.8.2018,383,SC,1,1,hummingbird,hummingbird,Calypte costae,green with white belly,,,,,,,
4.23.2018,54,AS,1,1,calypterate fly,fly,calypterate fly,,,,,,,,
4.24.2018,82,LT,1,1,red-eyed centris,bee,centris,,,,,,,,
5.5.2018,294,LT,1,1,centris,bee,centris,voucher from neighbour,,,,,,,
5.5.2018,306,LT,1,1,centris,bee,centris,"blue-eyed, voucher frome earlier",,,,,,,
5.6.2018,319,LT,1,1,centris,bee,centris,red-eyed,,,,,,,
5.8.2018,366,LT,1,1,centris,bee,centris,red-eyed,,,,,,,
5.8.2018,377,LT,1,1,centris,bee,centris,red-eyed,,,,,,,
5.8.2018,384,LT,5,5,centris,bee,centris,red-eyed,,,,,,,
5.5.2018,295,LT,V,1,large apidae! ,bee,centris pallida,,"grey, fluffy, green eye, big scopa",,,,,,
4.27.2018,152,SC,1,0,chrysdidae,wasp,chrysididae,,,,,,,,
4.25.2018,111,EC,V,1,click beetle,beetle,click beetle,,,,,,,,
4.22.2018,33,LT,1,1,colletes,bee,colletes,looks like photos from teutonia!,,,,,,,
4.22.2018,38,LT,1,1,hesperapis,bee,colletes,,,,,,,,
4.23.2018,61,LT,1,1,colletes,bee,colletes,,,,,,,,
4.24.2018,82,LT,3,3,hesperapis,bee,colletes,,,,,,,,
4.24.2018,96,LT,1,1,hesperapis,bee,colletes,,,,,,,,
4.25.2018,101,LT,V,1,hesperapis,bee,colletes,,,,,,,,
4.25.2018,101,LT,3,3,hesperapis,bee,colletes,includes voucher,,,,,,,
4.25.2018,118,LT,1,1,hesperapis,bee,colletes,,,,,,,,
4.27.2018,149,LT,1,1,colletes,bee,colletes,,,,,,,,
4.27.2018,149,LT,2,2,hesperapis,bee,colletes,,,,,,,,
4.27.2018,151,LT,3,3,colletes,bee,colletes,,,,,,,,
4.27.2018,159,LT,1,1,hesperapis,bee,colletes,,,,,,,,
4.28.2018,169,LT,2,2,hesperapis,bee,colletes,,,,,,,,
4.28.2018,173,LT,4,4,hesperapis,bee,colletes,,,,,,,,
4.28.2018,182,LT,1,1,hesperapis,bee,colletes,,,,,,,,
4.28.2018,193,LT,V,1,bee,bee,colletes,,less common - haven't seen before or after,,,,,,
4.30.2018,199,LT,2,2,hesperapis,bee,colletes,,,,,,,,
4.30.2018,211,LT,1,1,hesperapis,bee,colletes,,,,,,,,
5.3.2018,250,LT,1,1,hesperapis,bee,colletes,,,,,,,,
5.4.2018,265,LT,1,1,hesperapis,bee,colletes,,,,,,,,
5.4.2018,271,LT,3,3,hesperapis,bee,colletes,,,,,,,,
5.4.2018,275,LT,V,2,colletes,bee,colletes,,"grey hair, hair bands, same as photo. Face shaped as colletes - this is the vouchers for all colletes on larrea so far",,,,,,
5.4.2018,275,LT,3,3,hesperapis,bee,colletes,,,,,,,,
5.4.2018,276,LT,2,2,hesperapis,bee,colletes,,,,,,,,
5.4.2018,286,LT,1,1,hesperapis,bee,colletes,,,,,,,,
5.5.2018,295,LT,2,2,colletes,bee,colletes,,,,,,,,
5.7.2018,339,LT,V,1,bee,bee,colletes,,looks like small colletes or big hesperapis,,,,,,
5.7.2018,339,LT,1,1,hesperapis,bee,colletes,,,,,,,,
5.7.2018,345,LT,1,1,colletes,bee,colletes,,,,,,,,
5.7.2018,349,LT,1,1,hesperapis,bee,colletes,,,,,,,,
5.8.2018,366,LT,V,1,colletes,bee,colletes,,larger colletes,,,,,,
5.8.2018,371,AS,1,1,colletes?,bee,colletes,"smaller, long abdome. Caught a couple later",,,,,,,
5.8.2018,371,AS,V,1,bee,bee,colletes,,small colletes/large hesperapis,,,,,,
5.8.2018,372,AS,1,1,colletes?,bee,colletes,"smaller, long abdome. Caught a couple later",,,,,,,
4.21.2018,11,EC,V,1,beetle,bee,collops,white and black,,,,,,,
4.22.2018,26,AS,V,1,red and black melyrid,bee,collops,red and black,,,,,,,
4.23.2018,65,EC,V,1,black and red beetle,bee,collops,"red and black, different ",,,,,,,
4.28.2018,176,AS,1,1,"melyrid beetle, red and black",bee,collops,,,,,,,,
4.22.2018,28,EL,1,1,completely missed bee,bee,completely missed bee,,,,,,,,
4.23.2018,52,SD,1,1,desert swallowtail,lep,desert swallowtail,,,,,,,,
