"","Id","site","name","Descript","Type","Comment","Symbol","DateTimeS","Elevation","y","x","Site","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density"
"65","0","L","228",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:13:56Z",1290.671387,3849162.97341,622596.626694,"","SC",62,9,"3:17",13,"LT",23,3,0,0,0,0,0,0,0,0,0,0,"SC 228",2,3,3,0
"66","0","L","229",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:14:13Z",1291.194458,3849164.75394,622597.060578,"","LT",103,120,"3:17",13,"SC",38,2,0,0,0,0,1,0,0,0,0,0,"LT 229",0,3,2,1
"67","0","L","230",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:15:00Z",1289.298096,3849150.96806,622603.010488,"","EC",49,200,"3:17",20,"AS",91,0,1,0,0,0,0,0,0,0,0,0,"EC 230",2,1,1,0
"68","0","L","231",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:15:13Z",1289.241577,3849150.7438,622602.830424,"","AS",49,18,"3:17",20,"EC",83,0,0,2,0,0,0,0,0,0,0,0,"AS 231",0,2,2,0
"69","0","L","233",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:34:10Z",1283.116455,3849093.46419,622599.567529,"","SC",43,8,"3:39",640,"SC",199,0,0,0,0,0,0,0,0,0,0,0,"SC 233",0,0,0,0
"70","0","L","232",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:34:37Z",1283.60437,3849104.0793,622605.374997,"","SC",54,8,"3:39",227,"SC",214,0,0,0,0,0,1,0,0,0,0,0,"SC 232",0,1,0,1
"71","0","L","234",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:52:02Z",1280.113647,3849078.51534,622593.177244,"","SC",52,4,"3:55",171,"LT",42,1,0,0,0,0,0,0,0,0,0,2,"SC 234",0,3,3,0
"72","0","L","235",NA,"WPT",NA,"Flag, Blue","2018-04-30T22:52:49Z",1279.73645,3849064.58897,622588.603703,"","BW",34,4,"3:55",45,"AS",176,0,2,0,0,0,0,0,0,0,0,0,"BW 235",1,2,2,0
"73","0","L","137",NA,"WPT",NA,"Flag, Blue","2018-04-27T17:35:10Z",1295.359131,3849331.38788,622491.051994,"","SC",54,3,"10:38",0,"AS",82,0,4,0,0,0,0,0,0,0,0,0,"SC 137",0,4,4,0
"74","0","L","136",NA,"WPT",NA,"Flag, Blue","2018-04-27T17:35:30Z",1295.370117,3849331.41106,622492.790593,"","AS",48,40,"10:38",0,"SC",82,0,3,0,0,0,1,0,0,0,0,0,"AS 136",0,4,3,1
"75","0","L","138",NA,"WPT",NA,"Flag, Blue","2018-04-27T17:53:41Z",1294.537964,3849339.23775,622497.445352,"","SC",46,10,"10:54",25,"AS",76,0,2,0,0,0,1,0,0,0,0,0,"SC 138",0,3,2,1
"76","0","L","139",NA,"WPT",NA,"Flag, Blue","2018-04-27T17:54:04Z",1295.516724,3849338.2164,622495.720061,"","SC",58,8,"10:54",110,"SC",NA,0,1,0,0,0,2,0,0,0,0,0,"SC 139",2,3,1,2
"77","0","L","140",NA,"WPT",NA,"Flag, Blue","2018-04-27T18:09:52Z",1294.302124,3849345.82747,622509.163823,"","PP",22,1,"11:19",16,"SC",NA,0,0,0,0,0,0,0,0,0,0,0,"PP 140",3,0,0,0
"78","0","L","141",NA,"WPT",NA,"Flag, Blue","2018-04-27T18:10:49Z",1295.212402,3849335.76452,622503.166003,"","AS",54,80,"11:19",200,"AS",87,0,1,0,0,0,0,0,0,0,0,0,"AS 141",2,1,1,0
"79","0","L","142",NA,"WPT",NA,"Flag, Blue","2018-04-27T18:40:27Z",1289.731323,3849269.85097,622542.850107,"","AS",22,155,"11:40",140,"SM",57,1,3,0,0,1,0,0,0,0,0,0,"AS 142",1,5,5,0
"80","0","L","143",NA,"WPT",NA,"Flag, Blue","2018-04-27T18:40:44Z",1289.467285,3849267.97174,622543.3328,"","EC",60,375,"",105,"AS",88,2,5,0,0,1,0,0,0,0,0,0,"EC 143",4,8,8,0
"81","0","L","145",NA,"WPT",NA,"Flag, Blue","2018-04-27T19:03:59Z",1290.343872,3849251.36062,622537.056254,"","LT",170,85,"12:09",160,"EC",178,0,1,3,0,0,0,0,0,0,0,0,"LT 145",1,4,4,0
"82","0","L","144",NA,"WPT",NA,"Flag, Blue","2018-04-27T19:04:21Z",1289.936279,3849248.97322,622541.023571,"","HH",44,6,"12:09",130,"EC",95,0,0,2,0,0,0,0,0,0,0,0,"HH 144",3,2,2,0
"83","0","L","146",NA,"WPT",NA,"Flag, Blue","2018-04-27T19:13:52Z",1290.451294,3849252.47082,622537.132977,"","EC",58,46,"12:09",0,"LT",2,1,1,2,0,0,0,0,0,0,0,0,"EC 146",1,4,4,0
"84","0","L","147",NA,"WPT",NA,"Flag, Blue","2018-04-27T19:22:22Z",1290.824707,3849248.90244,622535.716216,"","EC",56,240,"12:26",30,"EC",79,2,0,1,0,0,0,0,0,0,0,0,"EC 147",10,3,3,0
